Country,Time,10-Year Gov Bond Yields (%),Call Money/Interbank Immediate (%)
JP,2009-12,1.272,0.10099999999999999
JP,2010-01,1.308,0.096
JP,2010-02,1.295,0.10099999999999999
JP,2010-03,1.361,0.09699999999999999
JP,2010-04,1.286,0.09300000000000001
JP,2010-05,1.2570000000000001,0.091
JP,2010-06,1.08,0.095
JP,2010-07,1.075,0.094
JP,2010-08,1.023,0.095
JP,2010-09,0.898,0.091
JP,2010-10,0.903,0.091
JP,2010-11,1.161,0.091
JP,2010-12,1.133,0.087
JP,2011-01,1.213,0.085
JP,2011-02,1.2409999999999999,0.09300000000000001
JP,2011-03,1.214,0.085
JP,2011-04,1.215,0.062
JP,2011-05,1.1179999999999999,0.069
JP,2011-06,1.084,0.069
JP,2011-07,1.075,0.073
JP,2011-08,1.023,0.081
JP,2011-09,0.975,0.08
JP,2011-10,1.038,0.081
JP,2011-11,1.062,0.077
JP,2011-12,0.971,0.078
JP,2012-01,0.9590000000000001,0.08
JP,2012-02,0.9620000000000001,0.085
JP,2012-03,0.966,0.084
JP,2012-04,0.914,0.075
JP,2012-05,0.846,0.084
JP,2012-06,0.789,0.076
JP,2012-07,0.78,0.084
JP,2012-08,0.8,0.086
JP,2012-09,0.757,0.085
JP,2012-10,0.76,0.085
JP,2012-11,0.713,0.086
JP,2012-12,0.7809999999999999,0.08199999999999999
JP,2013-01,0.775,0.083
JP,2013-02,0.669,0.08
JP,2013-03,0.49200000000000005,0.08
JP,2013-04,0.589,0.07
JP,2013-05,0.879,0.07
JP,2013-06,0.8220000000000001,0.07
JP,2013-07,0.79,0.07
JP,2013-08,0.708,0.07
JP,2013-09,0.669,0.07
JP,2013-10,0.59,0.07
JP,2013-11,0.605,0.07
JP,2013-12,0.688,0.07
JP,2014-01,0.614,0.07
JP,2014-02,0.586,0.08
JP,2014-03,0.605,0.07
JP,2014-04,0.61,0.06
JP,2014-05,0.5660000000000001,0.07
JP,2014-06,0.536,0.07
JP,2014-07,0.527,0.07
JP,2014-08,0.488,0.07
JP,2014-09,0.49700000000000005,0.07
JP,2014-10,0.465,0.06
JP,2014-11,0.42,0.06
JP,2014-12,0.33,0.07
JP,2015-01,0.275,0.07
JP,2015-02,0.33,0.08
JP,2015-03,0.4,0.07
JP,2015-04,0.34,0.06
JP,2015-05,0.39,0.07
JP,2015-06,0.455,0.07
JP,2015-07,0.41,0.07
JP,2015-08,0.38,0.08
JP,2015-09,0.35,0.07
JP,2015-10,0.3,0.08
JP,2015-11,0.3,0.08
JP,2015-12,0.27,0.07
JP,2016-01,0.095,0.07
JP,2016-02,-0.065,0.03
JP,2016-03,-0.05,-0.003
JP,2016-04,-0.085,-0.036000000000000004
JP,2016-05,-0.12,-0.059000000000000004
JP,2016-06,-0.23,-0.055
JP,2016-07,-0.195,-0.043
JP,2016-08,-0.07,-0.043
JP,2016-09,-0.085,-0.052000000000000005
JP,2016-10,-0.05,-0.037000000000000005
JP,2016-11,0.02,-0.049
JP,2016-12,0.04,-0.044000000000000004
JP,2017-01,0.085,-0.045
JP,2017-02,0.05,-0.038
JP,2017-03,0.065,-0.042
JP,2017-04,0.015,-0.054000000000000006
JP,2017-05,0.04,-0.053
